Montage,Current_Ch1_mA,Current_Ch2_mA,TImax_ROI,TImean_ROI,TImean_GM,Focality,Composite_Index
F7_P5 <> F3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0975,0.0638,0.0373,1.7095,0.1090
F7_P5 <> F3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0830,0.0480,0.0347,1.3817,0.0663
F7_P5 <> F3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1659,0.0959,0.0694,1.3821,0.1326
F7_P5 <> F3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2489,0.1439,0.1032,1.3942,0.2006
F7_P5 <> F3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3319,0.1918,0.1200,1.5985,0.3066
F7_P5 <> F3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2925,0.1912,0.1091,1.7521,0.3349
F7_P5 <> F3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1950,0.1276,0.0745,1.7118,0.2184
F7_P5 <> F3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0975,0.0638,0.0373,1.7096,0.1091
F7_P5 <> F3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0984,0.0574,0.0456,1.2593,0.0723
F7_P5 <> F3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1969,0.1148,0.0910,1.2619,0.1449
F7_P5 <> F3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2953,0.1722,0.1318,1.3066,0.2250
F7_P5 <> F3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3852,0.2255,0.1394,1.6181,0.3649
F7_P5 <> F3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2925,0.1912,0.1112,1.7188,0.3286
F7_P5 <> F3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1950,0.1276,0.0746,1.7111,0.2183
F7_P5 <> F3_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0975,0.0638,0.0373,1.7095,0.1090
F7_P5 <> F3_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0998,0.0568,0.0443,1.2823,0.0729
F7_P5 <> F3_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1995,0.1137,0.0870,1.3068,0.1486
F7_P5 <> F3_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2993,0.1704,0.1204,1.4151,0.2411
F7_P5 <> F3_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3834,0.2179,0.1285,1.6950,0.3693
F7_P5 <> F3_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2925,0.1903,0.1083,1.7564,0.3343
F7_P5 <> F3_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1950,0.1275,0.0742,1.7183,0.2192
