Montage,Current_Ch1_mA,Current_Ch2_mA,TImax_ROI,TImean_ROI,TImean_GM,Focality,Composite_Index
F7_P5 <> FT9_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0975,0.0638,0.0373,1.7094,0.1090
F7_P5 <> FT9_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0579,0.0354,0.0232,1.5252,0.0540
F7_P5 <> FT9_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1158,0.0708,0.0463,1.5296,0.1083
F7_P5 <> FT9_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1737,0.1062,0.0685,1.5520,0.1649
F7_P5 <> FT9_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2316,0.1417,0.0865,1.6383,0.2321
F7_P5 <> FT9_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2853,0.1765,0.0921,1.9179,0.3386
F7_P5 <> FT9_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1950,0.1276,0.0737,1.7301,0.2207
F7_P5 <> FT9_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0975,0.0638,0.0373,1.7102,0.1091
F7_P5 <> FT9_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0423,0.0268,0.0159,1.6871,0.0453
F7_P5 <> FT9_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.0846,0.0537,0.0318,1.6872,0.0905
F7_P5 <> FT9_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1269,0.0805,0.0477,1.6885,0.1359
F7_P5 <> FT9_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1692,0.1073,0.0632,1.6976,0.1822
F7_P5 <> FT9_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2115,0.1341,0.0747,1.7951,0.2408
F7_P5 <> FT9_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1950,0.1276,0.0701,1.8209,0.2323
F7_P5 <> FT9_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0975,0.0638,0.0372,1.7131,0.1093
F7_T9 <> F3_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0866,0.0537,0.0410,1.3114,0.0705
F7_T9 <> F3_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1732,0.1075,0.0726,1.4800,0.1590
F7_T9 <> F3_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2598,0.1611,0.0823,1.9572,0.3154
F7_T9 <> F3_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3049,0.1665,0.0751,2.2169,0.3691
F7_T9 <> F3_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0592,2.1100,0.2635
F7_T9 <> F3_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0398,2.0901,0.1740
F7_T9 <> F3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0861,0.0868
F7_T9 <> F3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0830,0.0480,0.0344,1.3961,0.0670
F7_T9 <> F3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1659,0.0959,0.0629,1.5241,0.1462
F7_T9 <> F3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2489,0.1437,0.0751,1.9121,0.2747
F7_T9 <> F3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2506,0.1612,0.0718,2.2472,0.3623
F7_T9 <> F3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0582,2.1463,0.2680
F7_T9 <> F3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0397,2.0973,0.1746
F7_T9 <> F3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0199,2.0868,0.0869
F7_T9 <> F3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0984,0.0574,0.0453,1.2683,0.0728
F7_T9 <> F3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1969,0.1148,0.0832,1.3795,0.1584
F7_T9 <> F3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2953,0.1722,0.0899,1.9170,0.3302
F7_T9 <> F3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3049,0.1665,0.0780,2.1341,0.3553
F7_T9 <> F3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0597,2.0913,0.2612
F7_T9 <> F3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0399,2.0866,0.1737
F7_T9 <> F3_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0858,0.0868
F7_T9 <> F3_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0998,0.0569,0.0444,1.2802,0.0728
F7_T9 <> F3_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1995,0.1137,0.0861,1.3199,0.1501
F7_T9 <> F3_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2993,0.1705,0.0914,1.8645,0.3179
F7_T9 <> F3_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3049,0.1665,0.0785,2.1202,0.3530
F7_T9 <> F3_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0597,2.0908,0.2611
F7_T9 <> F3_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0399,2.0866,0.1737
F7_T9 <> F3_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0858,0.0868
F7_T9 <> F3_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0845,0.0529,0.0384,1.3800,0.0731
F7_T9 <> F3_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1690,0.1059,0.0765,1.3839,0.1465
F7_T9 <> F3_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2536,0.1586,0.0911,1.7416,0.2762
F7_T9 <> F3_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3049,0.1664,0.0786,2.1165,0.3522
F7_T9 <> F3_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0597,2.0913,0.2612
F7_T9 <> F3_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0399,2.0867,0.1737
F7_T9 <> F3_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0858,0.0868
F7_T9 <> FC3_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0848,0.0456,0.0334,1.3623,0.0621
F7_T9 <> FC3_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1695,0.0911,0.0603,1.5112,0.1377
F7_T9 <> FC3_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2543,0.1367,0.0728,1.8789,0.2568
F7_T9 <> FC3_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3049,0.1662,0.0706,2.3551,0.3915
F7_T9 <> FC3_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0579,2.1554,0.2692
F7_T9 <> FC3_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0397,2.0958,0.1745
F7_T9 <> FC3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0199,2.0865,0.0869
F7_T9 <> FC3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0608,0.0362,0.0248,1.4558,0.0526
F7_T9 <> FC3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1216,0.0723,0.0468,1.5465,0.1118
F7_T9 <> FC3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1824,0.1085,0.0600,1.8070,0.1960
F7_T9 <> FC3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2432,0.1443,0.0630,2.2901,0.3305
F7_T9 <> FC3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0551,2.2652,0.2829
F7_T9 <> FC3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0393,2.1175,0.1763
F7_T9 <> FC3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0199,2.0888,0.0870
F7_T9 <> FC3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1018,0.0530,0.0408,1.3002,0.0689
F7_T9 <> FC3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2036,0.1060,0.0747,1.4188,0.1504
F7_T9 <> FC3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.3054,0.1589,0.0846,1.8784,0.2985
F7_T9 <> FC3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3049,0.1662,0.0753,2.2062,0.3667
F7_T9 <> FC3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0592,2.1101,0.2635
F7_T9 <> FC3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0398,2.0896,0.1740
F7_T9 <> FC3_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0861,0.0868
F7_T9 <> FC3_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1045,0.0553,0.0423,1.3070,0.0723
F7_T9 <> FC3_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2090,0.1106,0.0807,1.3699,0.1515
F7_T9 <> FC3_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.3135,0.1653,0.0871,1.8964,0.3134
F7_T9 <> FC3_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3049,0.1656,0.0763,2.1710,0.3596
F7_T9 <> FC3_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0593,2.1067,0.2630
F7_T9 <> FC3_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0398,2.0892,0.1739
F7_T9 <> FC3_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0861,0.0868
F7_T9 <> FC3_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0887,0.0511,0.0364,1.4015,0.0716
F7_T9 <> FC3_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1775,0.1021,0.0725,1.4090,0.1439
F7_T9 <> FC3_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2662,0.1524,0.0862,1.7678,0.2694
F7_T9 <> FC3_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3049,0.1649,0.0762,2.1630,0.3567
F7_T9 <> FC3_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1248,0.0591,2.1107,0.2635
F7_T9 <> FC3_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0398,2.0902,0.1740
F7_T9 <> FC3_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0862,0.0868
F7_T9 <> AF7_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1010,0.0611,0.0432,1.4159,0.0866
F7_T9 <> AF7_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2020,0.1223,0.0761,1.6059,0.1964
F7_T9 <> AF7_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2755,0.1775,0.0866,2.0494,0.3638
F7_T9 <> AF7_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3048,0.1663,0.0769,2.1620,0.3596
F7_T9 <> AF7_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0594,2.1009,0.2623
F7_T9 <> AF7_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0399,2.0884,0.1739
F7_T9 <> AF7_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0860,0.0868
F7_T9 <> AF7_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1036,0.0588,0.0393,1.4940,0.0878
F7_T9 <> AF7_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2072,0.1174,0.0711,1.6514,0.1939
F7_T9 <> AF7_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2671,0.1672,0.0831,2.0122,0.3364
F7_T9 <> AF7_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2630,0.1625,0.0757,2.1479,0.3490
F7_T9 <> AF7_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1248,0.0592,2.1088,0.2633
F7_T9 <> AF7_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0398,2.0894,0.1739
F7_T9 <> AF7_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0861,0.0868
F7_T9 <> AF7_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0937,0.0596,0.0422,1.4107,0.0841
F7_T9 <> AF7_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1874,0.1192,0.0783,1.5227,0.1815
F7_T9 <> AF7_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2812,0.1778,0.0908,1.9581,0.3482
F7_T9 <> AF7_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3049,0.1665,0.0787,2.1148,0.3521
F7_T9 <> AF7_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0598,2.0887,0.2608
F7_T9 <> AF7_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0399,2.0862,0.1737
F7_T9 <> AF7_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0858,0.0868
F7_T9 <> AF7_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0924,0.0549,0.0378,1.4508,0.0796
F7_T9 <> AF7_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1849,0.1097,0.0739,1.4856,0.1630
F7_T9 <> AF7_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2773,0.1646,0.0921,1.7864,0.2940
F7_T9 <> AF7_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3049,0.1665,0.0793,2.0995,0.3496
F7_T9 <> AF7_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0599,2.0863,0.2605
F7_T9 <> AF7_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0399,2.0858,0.1736
F7_T9 <> AF7_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0858,0.0868
F7_T9 <> AF7_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0797,0.0491,0.0312,1.5760,0.0774
F7_T9 <> AF7_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1594,0.0982,0.0623,1.5775,0.1550
F7_T9 <> AF7_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2391,0.1473,0.0885,1.6648,0.2453
F7_T9 <> AF7_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3029,0.1660,0.0795,2.0882,0.3467
F7_T9 <> AF7_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1249,0.0599,2.0863,0.2605
F7_T9 <> AF7_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0833,0.0399,2.0858,0.1736
F7_T9 <> AF7_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0858,0.0868
F7_T9 <> F9_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0898,0.0527,0.0401,1.3144,0.0693
F7_T9 <> F9_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1797,0.1053,0.0695,1.5142,0.1594
F7_T9 <> F9_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2405,0.1516,0.0803,1.8862,0.2859
F7_T9 <> F9_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2427,0.1573,0.0744,2.1144,0.3326
F7_T9 <> F9_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2280,0.1246,0.0588,2.1192,0.2641
F7_T9 <> F9_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0832,0.0398,2.0928,0.1742
F7_T9 <> F9_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0864,0.0868
F7_T9 <> F9_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0949,0.0538,0.0390,1.3814,0.0743
F7_T9 <> F9_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1897,0.1066,0.0693,1.5370,0.1638
F7_T9 <> F9_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2442,0.1463,0.0805,1.8178,0.2660
F7_T9 <> F9_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2318,0.1490,0.0741,2.0121,0.2999
F7_T9 <> F9_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2005,0.1218,0.0586,2.0782,0.2532
F7_T9 <> F9_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1510,0.0830,0.0398,2.0883,0.1734
F7_T9 <> F9_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0862,0.0868
F7_T9 <> F9_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0740,0.0470,0.0342,1.3763,0.0647
F7_T9 <> F9_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1479,0.0941,0.0622,1.5114,0.1422
F7_T9 <> F9_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2165,0.1406,0.0767,1.8342,0.2580
F7_T9 <> F9_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2636,0.1604,0.0740,2.1670,0.3475
F7_T9 <> F9_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1248,0.0590,2.1162,0.2642
F7_T9 <> F9_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0832,0.0398,2.0905,0.1740
F7_T9 <> F9_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0862,0.0868
F7_T9 <> F9_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0623,0.0396,0.0264,1.4985,0.0594
F7_T9 <> F9_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1246,0.0792,0.0514,1.5402,0.1220
F7_T9 <> F9_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1869,0.1188,0.0704,1.6889,0.2007
F7_T9 <> F9_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2492,0.1531,0.0732,2.0917,0.3203
F7_T9 <> F9_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1248,0.0592,2.1073,0.2631
F7_T9 <> F9_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0832,0.0399,2.0876,0.1738
F7_T9 <> F9_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0859,0.0868
F7_T9 <> F9_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0525,0.0326,0.0196,1.6596,0.0540
F7_T9 <> F9_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1050,0.0651,0.0391,1.6660,0.1085
F7_T9 <> F9_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1575,0.0976,0.0571,1.7086,0.1668
F7_T9 <> F9_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2034,0.1292,0.0676,1.9109,0.2469
F7_T9 <> F9_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2231,0.1240,0.0588,2.1088,0.2615
F7_T9 <> F9_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0832,0.0399,2.0877,0.1738
F7_T9 <> F9_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0859,0.0868
F7_T9 <> FT9_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0826,0.0493,0.0386,1.2761,0.0629
F7_T9 <> FT9_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1651,0.0983,0.0669,1.4695,0.1444
F7_T9 <> FT9_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2184,0.1412,0.0773,1.8271,0.2580
F7_T9 <> FT9_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2330,0.1519,0.0725,2.0961,0.3185
F7_T9 <> FT9_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2230,0.1240,0.0582,2.1299,0.2641
F7_T9 <> FT9_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0832,0.0397,2.0960,0.1744
F7_T9 <> FT9_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0199,2.0865,0.0869
F7_T9 <> FT9_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0878,0.0506,0.0380,1.3323,0.0674
F7_T9 <> FT9_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1757,0.0997,0.0678,1.4711,0.1467
F7_T9 <> FT9_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2212,0.1366,0.0786,1.7364,0.2371
F7_T9 <> FT9_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2130,0.1428,0.0728,1.9617,0.2800
F7_T9 <> FT9_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1884,0.1198,0.0582,2.0596,0.2467
F7_T9 <> FT9_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1469,0.0827,0.0397,2.0846,0.1724
F7_T9 <> FT9_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0199,2.0861,0.0868
F7_T9 <> FT9_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0670,0.0431,0.0316,1.3646,0.0588
F7_T9 <> FT9_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1340,0.0861,0.0572,1.5055,0.1297
F7_T9 <> FT9_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1961,0.1287,0.0707,1.8199,0.2342
F7_T9 <> FT9_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2505,0.1536,0.0702,2.1888,0.3363
F7_T9 <> FT9_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1247,0.0579,2.1527,0.2685
F7_T9 <> FT9_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0832,0.0397,2.0955,0.1744
F7_T9 <> FT9_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0864,0.0868
F7_T9 <> FT9_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0579,0.0354,0.0232,1.5284,0.0541
F7_T9 <> FT9_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1158,0.0708,0.0450,1.5753,0.1116
F7_T9 <> FT9_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1737,0.1062,0.0616,1.7247,0.1832
F7_T9 <> FT9_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2313,0.1395,0.0669,2.0840,0.2906
F7_T9 <> FT9_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2287,0.1247,0.0576,2.1650,0.2699
F7_T9 <> FT9_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0832,0.0397,2.0943,0.1743
F7_T9 <> FT9_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0862,0.0868
F7_T9 <> FT9_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0423,0.0268,0.0159,1.6878,0.0453
F7_T9 <> FT9_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.0846,0.0536,0.0316,1.6965,0.0910
F7_T9 <> FT9_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1269,0.0805,0.0463,1.7394,0.1400
F7_T9 <> FT9_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1680,0.1071,0.0564,1.8990,0.2034
F7_T9 <> FT9_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1942,0.1191,0.0548,2.1754,0.2591
F7_T9 <> FT9_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1525,0.0832,0.0396,2.1038,0.1751
F7_T9 <> FT9_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0762,0.0416,0.0200,2.0864,0.0868
FT7_P7 <> F3_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0866,0.0537,0.0416,1.2928,0.0695
FT7_P7 <> F3_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1732,0.1075,0.0827,1.2998,0.1397
FT7_P7 <> F3_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2598,0.1611,0.1076,1.4974,0.2412
FT7_P7 <> F3_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3342,0.2002,0.1063,1.8840,0.3772
FT7_P7 <> F3_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2910,0.1654,0.0862,1.9188,0.3175
FT7_P7 <> F3_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1940,0.1104,0.0578,1.9090,0.2107
FT7_P7 <> F3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0970,0.0552,0.0289,1.9083,0.1053
FT7_P7 <> F3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0830,0.0480,0.0347,1.3822,0.0663
FT7_P7 <> F3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1659,0.0959,0.0689,1.3929,0.1336
FT7_P7 <> F3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2489,0.1437,0.0921,1.5601,0.2242
FT7_P7 <> F3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2667,0.1809,0.0957,1.8897,0.3418
FT7_P7 <> F3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2881,0.1638,0.0832,1.9672,0.3221
FT7_P7 <> F3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1940,0.1104,0.0577,1.9134,0.2112
FT7_P7 <> F3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0970,0.0552,0.0289,1.9087,0.1053
FT7_P7 <> F3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0984,0.0574,0.0456,1.2595,0.0723
FT7_P7 <> F3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1969,0.1148,0.0905,1.2679,0.1456
FT7_P7 <> F3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2953,0.1719,0.1199,1.4336,0.2465
FT7_P7 <> F3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3820,0.2081,0.1120,1.8579,0.3866
FT7_P7 <> F3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2910,0.1654,0.0865,1.9110,0.3161
FT7_P7 <> F3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1940,0.1104,0.0578,1.9087,0.2106
